,Name,Description
0,Spice,"A spice is a seed, fruit, root, bark, or other plant substance primarily used for flavoring or coloring food. Spices are distinguished from herbs, which are the leaves, flowers, or stems of plants used for flavoring or as a garnish. Spices are sometimes used in medicine, religious rituals, cosmetics or perfume production. For example, vanilla is commonly used as an ingredient in fragrance manufacturing.A spice may be available in several forms: fresh, whole dried, or pre-ground dried. Generally, spices are dried. Spices may be ground into a powder for convenience. A whole dried spice has the longest shelf life, so it can be purchased and stored in larger amounts, making it cheaper on a per-serving basis. A fresh spice, such as ginger, is usually more flavorful than its dried form, but fresh spices are more expensive and have a much shorter shelf life. Some spices are not always available either fresh or whole, for example turmeric, and often must be purchased in ground form. Small seeds, such as fennel and mustard seeds, are often used both whole and in powder form.
Although health benefits are often claimed for spices, there is currently not enough research conducted to prove these benefits.India contributes to 75% of global spice production. This is reflected culturally through their cuisine; historically, the spice trade developed throughout the Indian subcontinent, as well as in East Asia and the Middle East. Europe's demand for spices was among the economic and cultural factors that encouraged exploration in the early modern period."
1,Acorus calamus,"Acorus calamus (also called sweet flag, sway or muskrat root, among many common names) is a species of flowering plant with psychoactive chemicals. It is a tall wetland monocot of the family Acoraceae, in the genus Acorus. Although used in traditional medicine over centuries to treat digestive disorders and pain, there is no clinical evidence for its safety or efficacy – and ingested calamus may be toxic – leading to its commercial ban in the United States."
2,Adobo,"Adobo or adobar (Spanish: marinade, sauce, or seasoning) is the immersion of cooked food in a stock (or sauce) composed variously of paprika, oregano, salt, garlic, and vinegar to preserve and enhance its flavor. The Portuguese variant is known as Carne de vinha d'alhos. The practice, native to Iberia (Spanish cuisine and Portuguese cuisine), was widely adopted in Latin America, as well as Spanish and Portuguese colonies in Africa and Asia.
In the Philippines, the name adobo was given by colonial-era Spaniards on the islands to a different indigenous cooking method that also uses vinegar. Although similar, this developed independently of Spanish influence."
3,Aframomum corrorima,"Aframomum corrorima is a species of flowering plant in the ginger family, Zingiberaceae. It's a herbaceous perennial that produces leafy stems 1–2 meters tall from rhizomatous roots. The alternately-arranged leaves are dark green, 10–30 cm long and 2.5–6 cm across, elliptical to oblong in shape. Pink flowers are borne near the ground and give way to red, fleshy fruits containing shiny brown seeds, which are typically 3–5 mm in diameter.The spice, known as Ethiopian cardamom, false cardamom, or korarima, is obtained from the plant's seeds (usually dried), and is extensively used in Ethiopian and Eritrean cuisine.  It is an ingredient in berbere, mitmita, awaze, and other spice mixtures, and is also used to flavor coffee. Its flavor is comparable to that of the closely related Elettaria cardamomum or green cardamom. In Ethiopian herbal medicine, the seeds are used as a tonic, carminative, and laxative.The plant is native to Tanzania, western Ethiopia (in the vicinity of Lake Tana and Gelemso), southwestern Sudan, western Uganda. It is cultivated in both Ethiopia and Eritrea, although the fruits are typically harvested from wild plants.  The dried fruits are widely sold in markets and are relatively expensive, while fresh fruits are sold in production areas.In dried seeds and pods, the major oil components are 1,8-cineole (eucalyptol) and (E)-nerolidol. In fresh seeds, the major component of the essential oil is 1,8-cineole, followed by sabinene and geraniol. In fresh pods, the major oil constituents are γ-terpinene, β-pinene, α-phellandrene, 1,8-cineole, and p-cymene."
4,Aframomum melegueta,"Aframomum melegueta is a species in the ginger family, Zingiberaceae, and closely related to cardamom. Its seeds are used as a spice (ground or whole); it imparts a pungent, black-pepper-like flavor with hints of citrus.  It is commonly known as grains of paradise, melegueta pepper, Guinea grains, ossame, or fom wisa, and is confused with alligator pepper.  The term Guinea pepper has also been used, but is most often applied to Xylopia aethiopica (grains of Selim).
It is native to West Africa, which is sometimes named the Pepper Coast (or Grain Coast) because of this commodity. It is also an important cash crop in the Basketo district of southern Ethiopia."
5,Ajwain,"Ajwain, ajowan (), or Trachyspermum ammi—also known as ajowan caraway, omam  (in Tamil), thymol seeds, bishop's weed, or carom—is an annual herb in the family Apiaceae. Both the leaves and the seed‑like fruit (often mistakenly called seeds) of the plant are consumed by humans. The name ""bishop's weed"" also is a common name for other plants. The ""seed"" (i.e., the fruit) is often confused with lovage ""seed""."
6,Aleppo pepper,"The Aleppo pepper (Arabic: فلفل حلبي, ALA-LC: fulful Ḥalabī; Turkish: Halep biberi) is a variety of Capsicum annuum used as a spice, particularly in Turkish, Middle Eastern and Mediterranean cuisine. Also known as the Halaby pepper, its pods are ripened to a burgundy color, then semi-dried, de-seeded, and crushed or coarsely ground. The pepper flakes are known in Turkey as pul biber (pul = flake, biber = pepper), and in Armenia as Halebi bibar. In Turkey, pul biber is the third most commonly used spice, after salt and black pepper. In Arabic, the pepper is named after Aleppo, a long-inhabited city along the Silk Road in northern Syria, and is grown in Syria and Turkey.
Although a common condiment, its use in Europe and the United States outside Armenian, Syrian and Turkish immigrant communities was rare until the 20th century, with one source (Los Angeles magazine) dating its rise in use among the broader U.S. population according to the 1994 publication of The Cooking of the Eastern Mediterranean by Paula Wolfert."
7,Alleppey Green Cardamom,"Alleppey Green Cardamom is a green variety of kiln dried Cardamom capsule grown in Cardamom Hills of Idukki district in Kerala. 
This cardamom variety is called Alleppey cardamom not because it's grown in Alleppey, Kerala rather it's because Alleppey was the main depot through which this cardamom was processed in erstwhile Travancore.  [1]  In 18th century kings of Travancore brought state monopoly over trade and export of cardamom. The understanding between kings with British Raj, Travancore–Dutch Wars, consolidation of power under Marthanda Varma with British aid etc. were the reasons why such monopoly had come. This made all produce of cardamom in Travancore state to be sold solely to the state depot at Alleppey. Back then Alappuzha was  the major port in Travancore. This led to development of cardamom sorting and processing in Alleppey which resulted the naming of the most high quality cardamom produce from the region as Alleppey Green Cardamom. Post rise of Kochi market and port, Independence of India,  Travancore–Cochin merger the relevance and existence of a port in Alleppey became a thing of past. Today the development of better processing facilities, abundance of raw material, skilled cheap labour and allied infrastructure etc. in Idukki had resulted in complete shifting of the processing industry out of Alappuzha. 
Alleppey cardamom has a unique quality. It is kiln dried and has superior sensory quality, uniform shade of green and a three cornered ribbed appearance."
8,Alligator pepper,"Alligator pepper (also known as mbongo spice or hepper pepper) is a West African spice made from the seeds and seed pods of Aframomum danielli, A. citratum or A. exscapum. It is a close relative of grains of paradise, obtained from the closely related species, Aframomum melegueta or ""grains of paradise"". Unlike grains of paradise, which are generally sold as only the seeds of the plant, alligator pepper is sold as the entire pod containing the seeds (in the same manner to another close relative, black cardamom).
The plants which provide alligator pepper are herbaceous perennial flowering plants of the ginger family (Zingiberaceae), native to swampy habitats along the West African coast. Once the pod is open and the seeds are revealed, the reason for this spice's common English name becomes apparent as the seeds have a papery skin enclosing them and the bumps of the seeds within this skin is reminiscent of an alligator's back.
As mbongo spice, the seeds of alligator pepper are often sold as the grains isolated from the pod and with the outer skin removed. Mbongo spice is most commonly either A. danielli or A. citratum, and has a more floral aroma than A. exscapum (which is the commonest source of the entire pod).
It is a common ingredient in West African cuisine, where it imparts both pungency and a spicy aroma to soups and stews."
9,Allspice,"Allspice, also known as Jamaica pepper, myrtle pepper, pimenta, or pimento, is the dried unripe berry of Pimenta dioica, a midcanopy tree native to the Greater Antilles, southern Mexico, and Central America, now cultivated in many warm parts of the world. The name allspice was coined as early as 1621 by the English, who valued it as a spice that combined the flavours of cinnamon, nutmeg, and clove.Several unrelated fragrant shrubs are called ""Carolina allspice"" (Calycanthus floridus), ""Japanese allspice"" (Chimonanthus praecox), or ""wild allspice"" (Lindera benzoin)."
